type1	typ2
Escherichia coli	Escherichia
Escherichia albertii	Escherichia
Escherichia fergusonii	Escherichia
Escherichia marmotae	Escherichia
Escherichia sp005843885	Escherichia
Klebsiella pneumoniae	Klebsiella
Klebsiella variicola	Klebsiella
Klebsiella quasipneumoniae	Klebsiella
Klebsiella michiganensis	Klebsiella
Klebsiella aerogenes	Klebsiella
Salmonella enterica	Salmonella
Salmonella diarizonae	Salmonella
Salmonella bongori	Salmonella
Salmonella houtenae	Salmonella
Pseudomonas aeruginosa	Pseudomonas
Pseudomonas aeruginosa_A	Pseudomonas
Pseudomonas nitroreducens	Pseudomonas
Pseudomonas citronellolis	Pseudomonas
Pseudomonas knackmussii	Pseudomonas
Pseudomonas_E alloputida	Pseudomonas_E
Pseudomonas_E chlororaphis_F	Pseudomonas_E
Pseudomonas_E avellanae	Pseudomonas_E
Pseudomonas_E amygdali	Pseudomonas_E
Pseudomonas_E asiatica	Pseudomonas_E
Enterobacter hormaechei_A	Enterobacter
Enterobacter roggenkampii	Enterobacter
Enterobacter cloacae	Enterobacter
Enterobacter ludwigii	Enterobacter
Enterobacter kobei	Enterobacter
Vibrio parahaemolyticus	Vibrio
Vibrio cholerae	Vibrio
Vibrio alginolyticus	Vibrio
Vibrio fluvialis	Vibrio
Vibrio harveyi	Vibrio
Burkholderia mallei	Burkholderia
Burkholderia multivorans	Burkholderia
Burkholderia glumae	Burkholderia
Burkholderia cenocepacia	Burkholderia
Burkholderia thailandensis	Burkholderia
Citrobacter freundii	Citrobacter
Citrobacter braakii	Citrobacter
Citrobacter portucalensis	Citrobacter
Citrobacter gillenii	Citrobacter
Citrobacter werkmanii	Citrobacter
Aeromonas hydrophila	Aeromonas
Aeromonas veronii	Aeromonas
Aeromonas salmonicida	Aeromonas
Aeromonas caviae	Aeromonas
Aeromonas dhakensis	Aeromonas
